Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,65.550003,67.089996,64.120003,66.760002,64.344963,76323
2019-01-03,65.550003,66.279999,65.010002,65.379997,63.014874,64983
2019-01-04,65.220001,68.709999,65.220001,67.680000,65.231674,400430
2019-01-07,67.510002,69.669998,67.300003,67.620003,65.173843,564164
2019-01-08,67.440002,68.959999,67.169998,67.750000,65.299141,68198
2019-01-09,68.010002,69.989998,67.620003,69.190002,66.687050,596989
2019-01-10,69.000000,70.470001,68.559998,68.959999,66.465363,242466
2019-01-11,68.550003,71.040001,68.550003,70.790001,68.229164,229750
2019-01-14,70.500000,73.029999,70.410004,72.510002,69.886948,244698
2019-01-15,72.919998,72.970001,70.540001,72.010002,69.405037,317141
2019-01-16,72.500000,73.580002,71.750000,73.260002,70.609818,360271
2019-01-17,73.300003,74.500000,72.889999,73.000000,70.359222,1477051
2019-01-18,73.959999,74.889999,73.760002,74.370003,71.679657,121744
2019-01-21,74.739998,74.739998,74.000000,74.019997,71.342323,97047
2019-01-22,73.559998,73.559998,72.059998,72.370003,69.752022,164835
2019-01-23,72.610001,72.610001,70.070000,70.699997,68.142418,377780
2019-01-24,70.330002,72.480003,69.650002,71.739998,69.144798,479331
2019-01-25,72.320000,72.330002,70.750000,71.120003,68.547234,139737
2019-01-28,70.269997,71.769997,70.230003,71.629997,69.038780,177442
2019-01-29,71.940002,72.260002,70.209999,71.779999,69.183357,131210
2019-01-30,72.309998,73.139999,70.949997,72.360001,69.742378,238663
2019-01-31,72.279999,73.680000,72.000000,73.309998,70.658005,211173
2019-02-01,73.629997,73.629997,72.599998,72.900002,70.262833,126873
2019-02-05,72.500000,73.510002,72.120003,72.830002,70.195366,1147592
2019-02-06,73.959999,74.000000,72.550003,73.209999,70.561623,240459
2019-02-07,73.919998,73.919998,73.199997,73.320000,70.667641,308752
2019-02-08,72.970001,74.529999,72.970001,73.470001,70.812218,42441
2019-02-11,73.949997,75.000000,73.360001,74.000000,71.323044,106236
2019-02-12,73.800003,74.919998,73.000000,74.000000,71.323044,522931
2019-02-13,74.000000,74.000000,72.669998,72.930000,70.291748,102353
2019-02-14,72.559998,74.019997,72.220001,73.070000,70.426689,877151
2019-02-15,73.339996,74.680000,72.910004,73.510002,70.850769,630217
2019-02-18,70.910004,74.419998,70.910004,74.129997,71.448341,17697
2019-02-19,73.110001,74.480003,72.959999,73.989998,71.313408,79772
2019-02-20,74.349998,74.959999,73.860001,74.000000,71.323044,178130
2019-02-21,74.080002,75.389999,72.709999,75.000000,72.286873,841532
2019-02-22,74.709999,74.970001,73.870003,74.389999,71.698929,990435
2019-02-25,74.589996,77.019997,73.639999,75.849998,73.106117,1299337
2019-02-26,75.309998,76.980003,75.309998,76.000000,73.250687,46636
2019-02-27,75.500000,76.559998,75.349998,76.059998,73.308517,91902
2019-02-28,75.309998,76.000000,73.989998,74.839996,72.132660,290620
2019-03-01,73.800003,74.760002,72.150002,73.629997,70.966415,185777
2019-03-04,73.639999,73.639999,72.349998,73.019997,70.378502,171148
2019-03-05,72.650002,73.279999,71.599998,72.519997,69.896584,154749
2019-03-06,72.529999,73.389999,71.480003,72.930000,70.291748,163878
2019-03-07,72.129997,73.489998,71.500000,72.000000,69.395393,907191
2019-03-08,71.720001,72.589996,70.820000,71.489998,68.903847,607679
2019-03-11,72.839996,73.370003,70.769997,72.309998,69.694183,40224
2019-03-12,71.279999,73.129997,71.239998,72.349998,69.732735,243918
2019-03-13,71.529999,72.660004,70.180000,70.510002,67.959297,67044
2019-03-14,70.510002,72.290001,69.900002,71.919998,69.318283,138997
2019-03-15,72.489998,73.720001,72.059998,72.629997,70.002602,74575
2019-03-19,72.629997,73.199997,70.889999,71.870003,69.270096,1693360
2019-03-20,72.900002,73.099998,71.410004,72.050003,69.443588,186384
2019-03-21,71.949997,75.650002,71.949997,75.430000,72.701317,240966
2019-03-22,74.790001,75.250000,73.760002,74.040001,71.361595,248821
2019-03-25,74.000000,75.000000,73.800003,74.440002,71.747124,326666
2019-03-26,73.919998,75.000000,73.900002,74.470001,71.776039,83439
2019-03-27,74.860001,75.220001,73.099998,74.989998,72.277229,273574
2019-03-28,74.599998,75.980003,74.169998,75.879997,73.135033,370586
2019-03-29,75.279999,75.900002,74.110001,74.589996,71.891701,460285
2019-04-01,74.699997,75.879997,74.260002,74.379997,71.689285,566112
2019-04-02,74.070000,74.690002,73.110001,73.889999,71.217026,257944
2019-04-03,73.970001,74.230003,73.000000,73.080002,70.436333,115275
2019-04-04,73.870003,73.870003,72.010002,72.470001,69.848396,188924
2019-04-05,72.519997,74.099998,71.559998,72.139999,69.530327,245214
2019-04-08,73.209999,73.320000,72.010002,73.000000,70.359222,130160
2019-04-09,73.000000,73.339996,71.820000,71.980003,69.376122,42735
2019-04-10,71.589996,72.230003,70.470001,71.139999,68.566498,180147
2019-04-11,70.989998,71.930000,70.800003,71.510002,68.923119,65069
2019-04-12,72.190002,73.000000,71.250000,71.989998,69.385757,531996
2019-04-15,72.989998,73.559998,72.239998,73.349998,70.696556,95595
2019-04-16,73.389999,75.889999,73.389999,75.230003,72.508553,103529
2019-04-17,76.000000,77.690002,76.000000,77.589996,74.783173,151727
2019-04-22,77.199997,78.139999,75.800003,77.809998,74.995209,113551
2019-04-23,77.680000,78.730003,77.500000,78.180000,75.351830,2350826
2019-04-24,77.970001,78.080002,75.279999,77.599998,74.792809,195102
2019-04-25,77.309998,78.500000,77.000000,77.889999,75.072319,36249
2019-04-26,77.260002,79.019997,77.260002,78.220001,75.390381,341585
2019-04-29,78.680000,79.070000,78.239998,78.669998,75.824112,233655
2019-04-30,78.269997,78.669998,77.190002,77.680000,74.869926,2481236
2019-05-02,77.809998,80.050003,77.809998,79.750000,76.865036,873342
2019-05-03,80.500000,80.959999,78.809998,79.809998,76.922859,53740
2019-05-06,80.000000,81.470001,76.449997,81.230003,78.291496,160525
2019-05-07,81.459999,81.940002,79.080002,80.370003,77.462616,150729
2019-05-08,80.239998,80.900002,79.500000,80.019997,77.125267,423180
2019-05-09,79.610001,81.570000,79.610001,81.330002,78.387886,190813
2019-05-10,80.150002,81.330002,80.000000,81.019997,78.767029,576023
2019-05-13,81.010002,81.910004,79.849998,81.419998,79.155907,291332
2019-05-14,82.209999,87.599998,82.209999,87.099998,84.677971,818641
2019-05-15,86.610001,87.050003,85.239998,85.959999,83.569664,1559247
2019-05-16,86.900002,87.730003,86.120003,87.089996,84.668243,894515
