Date,Open,High,Low,Close,Volume
2023-01-02,50.96560474246563,51.60246841760592,50.469348890336505,51.17237854003906,79626
2023-01-03,50.8663524423888,52.23106072118288,50.81672559684655,51.53630065917969,834498
2023-01-04,52.11526713954273,53.372452221572956,51.5445725876502,52.92582321166992,1703451
2023-01-05,52.66114636199172,53.182220341835816,51.122752042757064,51.21372985839844,2454246
2023-01-06,51.56938508285398,53.64539582687637,51.56938508285398,53.637123107910156,2345878
2023-01-09,53.306283374130025,55.101084762603385,52.87619664455028,54.01758575439453,1621663
2023-01-10,54.58828258479289,54.91084920433874,54.174734989453555,54.48076248168945,1462812
2023-01-11,54.712343763035,55.09280676318328,54.23262707623433,54.704071044921875,1672984
2023-01-12,54.7040704350918,55.60560739232118,54.38150384486123,55.332664489746094,2392096
2023-01-13,55.365748343231616,55.72139949076054,54.48902324104702,54.977012634277344,1570629
2023-01-16,54.82814156746548,56.904152286416156,54.82814156746548,56.24247360229492,1094118
2023-01-17,57.70642402535021,57.70642402535021,54.795051965354766,55.812381744384766,1320444
2023-01-18,56.06878048606838,56.292093398114645,55.167243499119365,55.95298767089844,2951925
2023-01-19,55.63868947770718,56.94550136471686,55.473272967300936,56.03569793701172,1795719
2023-01-20,56.65602471331041,57.7229783447018,55.969534140283734,57.48311996459961,1606083
2023-01-23,57.681611951391076,58.36810241603608,56.82970498669824,57.88011932373047,1444921
2023-01-24,58.70722152413134,59.02151543621793,57.797411733446395,58.51698684692383,1401486
2023-01-25,58.61623199513047,59.11248779296875,57.33423206633298,59.11248779296875,1572516
2023-01-26,58.80647153731814,64.24875984530254,58.80647153731814,63.35549545288086,2677088
2023-01-27,64.24048369486437,64.24048369486437,61.7591980552614,62.27199935913086,2701025
2023-01-30,62.33816532383537,63.678055462603076,61.428355587344484,62.346431732177734,1499609
2023-01-31,62.776524170504615,63.487826515919934,60.79976723459599,62.56147766113281,3484195
2023-02-01,62.627644878839874,63.19006982526747,61.26293663866047,61.65167236328125,1464369
2023-02-02,61.866714422095576,61.866714422095576,57.95455192263045,58.11996841430664,2861898
2023-02-03,58.169603016189086,60.32004912943716,56.912414863054096,59.741085052490234,2775836
2023-02-07,59.96439781741819,60.36140626223008,56.48232802552461,57.06956481933594,5463441
2023-02-08,57.48311548260616,57.48311548260616,54.12511104347316,55.440189361572266,4378604
